name	jimmy
health	100
speed	10
type	npc
shadow	0
grabdistance 28
falldie    1
atchain     1 2 3 4  
diesound data/sounds/pladie.wav
com     d f a freespecial1
com     d d a freespecial2
com     f d a freespecial3
com     f d j freespecial4
com     f f a freespecial5
aggression 5
icon	data/chars/1dragon/icon.gif

remap   data/chars/1dragon/wk1.gif data/chars/1dragon/map5.gif


jumpheight 3

anim spawn
	loop	0
	delay	1
	offset	64 131
	bbox	58 71 18 58
	frame	data/chars/1dragon/wk1.gif


anim idle
	loop	1
	delay	10
	offset	64 131
	bbox	58 71 18 58
	frame	data/chars/1dragon/wk1.gif


anim walk
	loop	1
	delay	13
	offset	65 131
	bbox	58 71 18 58
	frame	data/chars/1dragon/wk2.gif
	frame	data/chars/1dragon/wk3.gif
	offset	64 131
	frame	data/chars/1dragon/wk4.gif
	frame	data/chars/1dragon/wk1.gif


#anim get
#	loop	0
#	delay	17
#	offset	64 131
#	frame	data/chars/1dragon/get.gif



anim riseattack
        loop	0
	
	delay   6
#	bbox	58 71 18 58
	offset	64 131
	sound   data/sounds/dragon2.wav
	frame	data/chars/1dragon/a203.gif
	attack  72 75 28 35 8 0 10 10 
	frame	data/chars/1dragon/a301.gif
        attack  0 0 0 0 0 
	frame	data/chars/1dragon/a302.gif
	frame	data/chars/1dragon/fly4.gif
	blast  69 80 34 28 20 1 0 0 18 10
	frame	data/chars/1dragon/fly5.gif
	frame	data/chars/1dragon/fly6.gif
	attack  0 0 0 0 0 0
	frame	data/chars/1dragon/fly7.gif
	frame	data/chars/1dragon/fly8.gif
	frame	data/chars/1dragon/fly9.gif
	delay   15
	frame	data/chars/1dragon/rise2.gif


anim attack1
	loop	0
	range   0 40
        delay	7
	bbox	58 71 18 58
	offset	64 131
	frame	data/chars/1dragon/a0101.gif
        delay   12
        attack  76 77 23 18 6
	frame	data/chars/1dragon/a0102.gif
        delay   7
        attack  0 0 0 0 0
	frame	data/chars/1dragon/a0103.gif

	
	delay	7
	bbox	58 71 18 58
	offset	64 131
	frame	data/chars/1dragon/a101.gif
        delay   12
        attack  76 77 23 18 6
	frame	data/chars/1dragon/a102.gif
        delay   7
        attack  0 0 0 0 0
	frame	data/chars/1dragon/a103.gif

	delay	7
	bbox	58 71 18 58
	offset	64 131
	frame	data/chars/1dragon/a203.gif
	frame	data/chars/1dragon/a201.gif
        delay   16
        attack  68 72 31 29 10
	frame	data/chars/1dragon/a202.gif
        attack  0 0 0 0 0 
        delay   7
	frame	data/chars/1dragon/a203.gif
		
	delay	8
	bbox	58 71 18 58
	offset	64 131
	frame	data/chars/1dragon/a203.gif
	frame	data/chars/1dragon/a201.gif
        delay   20
        attack  68 72 31 29 18 1
	frame	data/chars/1dragon/a301.gif
        attack  0 0 0 0 0 
        delay   9
	frame	data/chars/1dragon/a302.gif
	frame	data/chars/1dragon/a303.gif






anim special
	loop	0
	delay	2
	offset	64 131
	energycost 12
	sound   data/sounds/special.wav
        frame	data/chars/1dragon/sp01.gif
	offset	64 137
        frame	data/chars/1dragon/sp02.gif
        frame	data/chars/1dragon/sp03.gif
