name	Raymond
health	100
speed	10
type	enemy
shadow	0
grabdistance 23
falldie    1
#cantgrab  1
diesound data/sounds/die1.wav
icon	data/chars/Raymond/icon.gif
paingrab 1
candamage player npc
hostile player npc
jumpheight 3
remap   data/chars/Raymond/walk00.gif  data/chars/Raymond/map1.gif
nolife        1

anim spawn
        loop	0
	delay	20
	offset	65 116	
	
	delay	10
        frame	data/chars/Raymond/shade04.gif	
        frame	data/chars/Raymond/shade03.gif
        frame	data/chars/Raymond/shade02.gif
        frame	data/chars/Raymond/shade01.gif
        frame	data/chars/Raymond/shade01.gif

anim idle
	loop	1
	delay	15
	offset	65 116
	bbox	51 46 22 70	
	frame	data/chars/Raymond/walk04.gif
  

anim walk
	loop	1
	delay	15
	offset	65 116
	bbox	51 46 22 70
	frame	data/chars/Raymond/walk00.gif
	frame	data/chars/Raymond/walk01.gif
	frame	data/chars/Raymond/walk02.gif
	frame	data/chars/Raymond/walk03.gif
	frame	data/chars/Raymond/walk00.gif
	frame	data/chars/Raymond/walk01.gif
	frame	data/chars/Raymond/walk02.gif
	frame	data/chars/Raymond/walk03.gif
	frame	data/chars/Raymond/walk04.gif
	frame	data/chars/Raymond/walk05.gif
	frame	data/chars/Raymond/walk06.gif
	frame	data/chars/Raymond/walk04.gif
	frame	data/chars/Raymond/walk05.gif
	frame	data/chars/Raymond/walk06.gif
	frame	data/chars/Raymond/walk04.gif
	frame	data/chars/Raymond/walk05.gif
	frame	data/chars/Raymond/walk06.gif
        delay   5
	frame	data/chars/Raymond/tele00.gif
	frame	data/chars/Raymond/tele01.gif
	frame	data/chars/Raymond/tele02.gif
	frame	data/chars/Raymond/tele03.gif
	frame	data/chars/Raymond/tele04.gif
        delay   100
	frame	data/chars/raymond/tele05.gif
        delay   5
	frame	data/chars/Raymond/tele04.gif
	frame	data/chars/Raymond/tele03.gif
	frame	data/chars/Raymond/tele02.gif
	frame	data/chars/Raymond/tele01.gif
	frame	data/chars/Raymond/tele00.gif


anim attack1
	range   0 30
        loop	0
	delay	10  
	offset	65 116
	bbox	51 46 22 70	
        frame	data/chars/Raymond/punch00.gif
	delay	20
	attack	73 57 22 15 9 
        frame	data/chars/Raymond/punch01.gif
	delay	10
	attack	0
        frame	data/chars/Raymond/jatk00.gif	
        frame	data/chars/Raymond/jatk01.gif
	delay	20
	attack	73 77 28 32 9 
        frame	data/chars/Raymond/low00.gif
	delay	10
	attack	0
        frame	data/chars/Raymond/jatk01.gif	
        frame	data/chars/Raymond/jatk00.gif
        frame	data/chars/Raymond/punch00.gif
	delay	20
	attack	73 57 22 15 9 1
        frame	data/chars/Raymond/punch01.gif
	delay	10
	attack	0
        frame	data/chars/Raymond/punch00.gif	


anim attack2
	range   0 30
        loop	0
	delay	10
	offset	65 116
	bbox	51 46 22 70	
        frame	data/chars/Raymond/jatk00.gif	
        frame	data/chars/Raymond/jatk01.gif
	delay	20
	attack	73 77 28 32 9 
        frame	data/chars/Raymond/low00.gif
	delay	10
	attack	0
        frame	data/chars/Raymond/jatk01.gif	
        frame	data/chars/Raymond/jatk00.gif
