name	???
health	100
speed	11
type	enemy
shadow	1
falldie    1
diesound data/sounds/mastd1.wav
cantgrab 1
  
icon	data/chars/warrior/icon.gif

jumpheight 3

anim idle
	loop	1
	delay	10
	offset	68 135
	bbox	55 73 29 62
	frame	data/chars/warrior/idle.gif


anim walk
	loop	1
	delay	13
	offset	68 135
	bbox	55 73 29 62
	frame	data/chars/warrior/wk1.gif
	frame	data/chars/warrior/wk2.gif
	frame	data/chars/warrior/wk3.gif
	frame	data/chars/warrior/wk4.gif
	frame	data/chars/warrior/wk1.gif
	frame	data/chars/warrior/wk2.gif
	frame	data/chars/warrior/wk3.gif
	frame	data/chars/warrior/wk4.gif
	frame	data/chars/warrior/wk1.gif
	frame	data/chars/warrior/wk2.gif
	frame	data/chars/warrior/wk3.gif
	frame	data/chars/warrior/wk4.gif
	delay   5
	frame	data/chars/warrior/tel4.gif
	frame	data/chars/warrior/tel3.gif
	frame	data/chars/warrior/tel2.gif
	frame	data/chars/warrior/tel1.gif
	delay   100
	frame	data/chars/warrior/tel5.gif	
	delay   5
	frame	data/chars/warrior/tel1.gif
	frame	data/chars/warrior/tel2.gif
	frame	data/chars/warrior/tel3.gif
	frame	data/chars/warrior/tel4.gif


anim attack1
	loop	0
	delay	8
	offset	68 135
	bbox	55 73 29 62
	frame	data/chars/warrior/idle.gif
	frame	data/chars/warrior/a101.gif
	attack  78 80 41 22 8
	frame	data/chars/warrior/a102.gif
	attack  0 0 0 0 0
	frame	data/chars/warrior/a101.gif
	attack  78 80 41 22 8
	frame	data/chars/warrior/a103.gif
	attack  0 0 0 0 0
	frame	data/chars/warrior/a101.gif
	attack  78 80 41 22 8
	frame	data/chars/warrior/a102.gif
	attack  0 0 0 0 0
	frame	data/chars/warrior/a101.gif
	attack  78 80 41 22 8 
	frame	data/chars/warrior/a103.gif
	attack  0 0 0 0 0
	frame	data/chars/warrior/a101.gif
	frame	data/chars/warrior/ju1.gif
	frame	data/chars/warrior/ju2.gif
	attack  78 80 41 22 15 1	
	delay   15
	frame	data/chars/warrior/ju3.gif
	delay   10
	attack  0 0 0 0 0 0
	frame	data/chars/warrior/ju2.gif	
	frame	data/chars/warrior/ju1.gif

        
anim special
	loop	0
	delay	15
	offset	68 135
	bbox	55 73 29 62
	frame	data/chars/warrior/idle.gif
	delay   3
	frame	data/chars/warrior/sp01.gif
	attack  35 63 77 30 35 1
	frame	data/chars/warrior/sp02.gif
	frame	data/chars/warrior/sp03.gif
	frame	data/chars/warrior/sp04.gif
	frame	data/chars/warrior/sp01.gif
	frame	data/chars/warrior/sp02.gif
	frame	data/chars/warrior/sp03.gif
	frame	data/chars/warrior/sp04.gif
	frame	data/chars/warrior/sp01.gif
	frame	data/chars/warrior/sp02.gif
	frame	data/chars/warrior/sp03.gif
	frame	data/chars/warrior/sp04.gif
	frame	data/chars/warrior/sp01.gif
	frame	data/chars/warrior/sp02.gif
	frame	data/chars/warrior/sp03.gif
	frame	data/chars/warrior/sp04.gif
	attack  0 0 0 0 0 0
	delay   15
	frame	data/chars/warrior/idle.gif


anim upper
	loop	0
	delay	15
	offset	68 135
	bbox	55 73 29 62
	frame	data/chars/warrior/idle.gif
	delay   3
	frame	data/chars/warrior/sp01.gif
	attack  35 63 77 30 35 1
	frame	data/chars/warrior/sp02.gif
	frame	data/chars/warrior/sp03.gif
	frame	data/chars/warrior/sp04.gif
	frame	data/chars/warrior/sp01.gif
	frame	data/chars/warrior/sp02.gif
	frame	data/chars/warrior/sp03.gif
	frame	data/chars/warrior/sp04.gif
	frame	data/chars/warrior/sp01.gif
	frame	data/chars/warrior/sp02.gif
	frame	data/chars/warrior/sp03.gif
	frame	data/chars/warrior/sp04.gif
	frame	data/chars/warrior/sp01.gif
	frame	data/chars/warrior/sp02.gif
	frame	data/chars/warrior/sp03.gif
	frame	data/chars/warrior/sp04.gif
	attack  0 0 0 0 0 0
	delay   15
	frame	data/chars/warrior/idle.gif


anim jumpattack
	loop	0
	delay   3
	offset	68 135
	bbox	55 73 29 62
	frame	data/chars/warrior/sp01.gif
	attack  35 63 77 30 20 1
	frame	data/chars/warrior/sp02.gif
	frame	data/chars/warrior/sp03.gif
	frame	data/chars/warrior/sp04.gif
	frame	data/chars/warrior/sp01.gif
	frame	data/chars/warrior/sp02.gif
	frame	data/chars/warrior/sp03.gif
	frame	data/chars/warrior/sp04.gif
	frame	data/chars/warrior/sp01.gif
	frame	data/chars/warrior/sp02.gif
	frame	data/chars/warrior/sp03.gif
	frame	data/chars/warrior/sp04.gif
	frame	data/chars/warrior/sp01.gif
	frame	data/chars/warrior/sp02.gif
	frame	data/chars/warrior/sp03.gif
	frame	data/chars/warrior/sp04.gif
	frame	data/chars/warrior/sp01.gif
